employee_id,review_period,performance_score,manager_rating
137,2025-Q1,3.91,4.01
137,2025-Q2,3.25,3.2
138,2024-Q3,3.34,3.34
138,2024-Q4,3.99,4.15
138,2025-Q1,4.36,4.39
138,2025-Q2,3.93,4.0
139,2024-Q3,3.4,3.4
139,2024-Q4,3.87,3.78
139,2025-Q1,3.86,3.96
139,2025-Q2,3.4,3.55
140,2024-Q3,4.22,4.23
140,2024-Q4,3.85,3.72
140,2025-Q1,3.95,4.03
140,2025-Q2,3.87,3.94
141,2024-Q3,3.83,3.8
141,2024-Q4,4.25,4.62
141,2025-Q1,3.87,4.1
141,2025-Q2,4.34,4.4
142,2024-Q3,3.75,3.82
142,2024-Q4,3.72,3.94
142,2025-Q1,3.67,3.84
142,2025-Q2,3.66,3.65
143,2024-Q3,3.65,3.72
143,2024-Q4,4.39,4.38
143,2025-Q1,3.97,3.81
143,2025-Q2,4.01,3.77
144,2024-Q3,3.29,3.33
144,2024-Q4,3.96,4.38
144,2025-Q1,3.47,3.68
144,2025-Q2,3.74,3.72
145,2024-Q3,4.14,4.15
145,2024-Q4,4.09,4.03
145,2025-Q1,3.71,3.48
145,2025-Q2,4.32,4.28
146,2024-Q3,4.01,4.01
146,2024-Q4,4.44,4.47
146,2025-Q1,4.08,4.26
146,2025-Q2,4.74,4.82
147,2024-Q3,3.99,4.18
147,2024-Q4,4.08,4.17
147,2025-Q1,3.97,4.05
147,2025-Q2,3.53,3.64
148,2024-Q3,3.57,3.45
148,2024-Q4,4.35,4.48
148,2025-Q1,4.45,4.41
148,2025-Q2,3.75,3.71
149,2024-Q3,3.58,3.59
149,2024-Q4,3.91,3.85
149,2025-Q1,3.73,3.58
149,2025-Q2,3.8,3.8
150,2024-Q3,3.81,3.77
150,2024-Q4,4.01,3.97
150,2025-Q1,4.6,4.58
150,2025-Q2,4.07,3.76
151,2024-Q3,3.93,3.89
151,2024-Q4,4.03,4.24
151,2025-Q1,4.21,4.41
151,2025-Q2,4.32,4.32
152,2024-Q3,3.7,3.7
152,2024-Q4,4.24,3.89
152,2025-Q1,3.24,3.16
152,2025-Q2,3.84,3.95
153,2024-Q3,4.08,4.02
153,2024-Q4,4.28,4.43
153,2025-Q1,4.08,4.23
153,2025-Q2,4.15,4.06
154,2024-Q3,3.75,3.76
154,2024-Q4,3.59,3.81
154,2025-Q1,2.94,2.73
154,2025-Q2,3.34,3.28
155,2024-Q3,3.95,3.72
155,2024-Q4,3.78,3.66
155,2025-Q1,4.79,5.0
155,2025-Q2,4.02,3.97
156,2024-Q3,3.86,3.57
156,2024-Q4,4.19,4.04
156,2025-Q1,4.24,4.0
156,2025-Q2,4.09,4.11
157,2024-Q3,3.82,3.89
157,2024-Q4,3.39,3.52
157,2025-Q1,3.58,3.67
157,2025-Q2,3.84,3.63
158,2024-Q3,3.86,3.92
158,2024-Q4,4.16,4.14
158,2025-Q1,4.46,4.61
158,2025-Q2,4.0,4.11
159,2024-Q3,4.09,4.39
159,2024-Q4,3.25,3.11
159,2025-Q1,4.05,3.89
159,2025-Q2,3.3,3.23
160,2024-Q3,4.14,4.12
160,2024-Q4,3.88,3.78
160,2025-Q1,3.9,3.77
160,2025-Q2,4.78,4.82
